word,entity
빨간색,color
파랑색,color
빨강색,color
파란색,color
주황색,color
노란색,color
노랑색,color
초록색,color
녹색,color
연두색,color
남색,color
자주색,color
보라색,color
하늘색,color
연보라색,color
분홍색,color
청록색,color
청색,color
적색,color
갈색,color
네이비색,color
자동차,thing
공,thing
축구공,thing
농구공,thing
피구공,thing
럭비공,thing
야구공,thing
테니스공,thing
장난감,thing
의자,thing
책,thing
책상,thing
컵,thing
과자,thing
상자,thing
박스,thing
게임기,thing
컴퓨터,thing
텔레비전,thing
티비,thing
가방,thing
지갑,thing
양말,thing
패딩,thing
외투,thing
티셔츠,thing
셔츠,thing
바지,thing
청바지,thing
핸드폰,thing
휴대폰,thing
키보드,thing
마우스,thing
모니터,thing
노트북,thing
공책,thing
위,loc
아래,loc
오른쪽,loc
왼쪽,loc
좌회전,loc
우회전,loc
좌측,loc
우측,loc
맨위,loc
맨아래,loc
저기,loc
여기,loc
저쪽,loc
동쪽,loc
서쪽,loc
남쪽,loc
북쪽,loc
동,loc
서,loc
남,loc
북,loc
옆,loc
안,loc
붉은색,color
푸른색,color
누런색,color
푸르스름한,color
붉은,color
빨간,color
파란,color
초록,color
청록,color
지갑,thing
과자,thing
우유,thing
손목시계,thing
시계,thing
휴지,thing
물티슈,thing
커피포트,thing
아이패드,thing
아이폰,thing
